id,label,left_host_id,left_host_name,left_neighbourhood_group,left_neighbourhood,left_latitude,left_longitude,left_room_type,left_price,left_minimum_nights,left_number_of_reviews,left_last_review,left_reviews_per_month,left_calculated_host_listings_count,left_availability_365,right_neighbourhood,right_host_id,right_host_name,right_neighbourhood_group,right_latitude,right_longitude,right_room_type,right_price,right_minimum_nights,right_number_of_reviews,right_last_review,right_reviews_per_month,right_calculated_host_listings_count,right_availability_365
31466799,1,174165948,Pg,,De Pijp - Rivierenbuurt,52.34769,4.90896,Private room,70,1,1,2019-03-04,0.05,1,177,De Baarsjes - Oud-West,149544570,Susan,,52.36219,4.86384,Entire home/apt,119,3,6,2017-12-20,0.15,1,0
43916178,0,9574877,Filippo,,Oud-Oost,52.35777,4.92429,Private room,85,2,0,,,2,89,Watergraafsmeer,37129240,Michelle,,52.35222,4.92429,Entire home/apt,250,3,0,,,2,0
7297685,0,38223839,Natalie,,De Baarsjes - Oud-West,52.36523,4.87039,Entire home/apt,86,3,1,2016-09-03,0.02,2,0,Buitenveldert - Zuidas,154950281,Beril,,52.33135,4.87039,Entire home/apt,91,3,1,2017-11-06,0.03,1,0
17187058,1,115676374,Rocio,,Geuzenveld - Slotermeer,52.37963,4.80015,Private room,65,2,11,2019-10-21,0.24,1,178,Centrum-Oost,73611120,Arlette,,52.3639,4.9045,Entire home/apt,130,7,3,2017-02-27,0.06,2,40
33630560,0,250651185,Guido,,De Pijp - Rivierenbuurt,52.35567,4.90402,Private room,50,1,40,2020-03-08,2.01,1,0,Centrum-Oost,3781782,Jeroen,,52.36362,4.90402,Entire home/apt,85,1,3,2015-01-03,0.03,2,0
21946106,0,12583042,Jacqueline,,Centrum-West,52.3702,4.87759,Entire home/apt,8000,2,1,2017-11-28,0.03,1,0,Centrum-West,58901847,Parisa,,52.37627,4.87759,Entire home/apt,120,2,44,2018-04-01,0.79,1,0
15251577,1,96829632,Marjolein,,Westerpark,52.38303,4.86996,Entire home/apt,80,3,2,2016-10-22,0.04,1,0,Buitenveldert - Zuidas,127500048,Alexander,,52.33599,4.8707,Entire home/apt,120,1,3,2017-10-22,0.08,1,0
26949958,1,202766090,Brom,,Gaasperdam - Driemond,52.29531,4.98676,Private room,50,1,18,2018-12-09,0.62,1,0,De Pijp - Rivierenbuurt,174165948,Pg,,52.34769,4.90896,Private room,70,1,1,2019-03-04,0.05,1,177
41168738,0,9038101,Gijs,,De Pijp - Rivierenbuurt,52.34364,4.90338,Entire home/apt,100,2,1,2020-02-12,0.1,1,0,Centrum-Oost,1730513,Carla,,52.36175,4.90338,Entire home/apt,135,2,19,2017-09-27,0.39,1,0
42184011,0,67005410,Feliciano,,Centrum-West,52.37426,4.89926,Private room,93,1,1,2020-09-04,0.3,16,0,Centrum-West,67005410,Feliciano,,52.37426,4.89926,Private room,103,1,127,2020-03-14,2.29,16,0
39689625,0,71073516,Thijs,,De Pijp - Rivierenbuurt,52.34306,4.89447,Private room,74,1,2,2019-11-11,0.15,1,0,De Pijp - Rivierenbuurt,44436956,Pierre,,52.35127,4.89447,Entire home/apt,130,1,0,,,1,0
28299286,1,213709369,Annie,,Westerpark,52.38456,4.87679,Entire home/apt,70,1,0,,,1,0,Westerpark,24199072,Hidde,,52.38971,4.88647,Entire home/apt,120,3,0,,,1,0
21468398,0,152013045,Asile Flottant,,Oud-Noord,,4.91033,Entire home/apt,255,2,2,2019-08-19,0.09,6,364,Oud-Noord,152013045,Asile Flottant,,,4.91033,Entire home/apt,453,2,10,2020-02-05,0.33,6,0
22240988,1,13405827,Cap Homes,,Oud-Oost,52.35176,4.91968,Hotel room,176,2,13,2020-10-12,0.6,18,320,Watergraafsmeer,13405827,Cap Homes,,52.35057,4.91956,Hotel room,166,2,24,2020-10-19,0.77,18,324
951483,0,5162447,Roland,,Oud-Oost,52.3529,4.92281,Entire home/apt,140,3,43,2020-02-18,0.46,1,181,De Pijp - Rivierenbuurt,17960124,Rob & Kirsten,,,4.89277,Entire home/apt,140,3,52,2020-02-16,0.69,1,71
19936373,0,141272694,Matthijs,,Zuid,52.35093,4.85179,Entire home/apt,131,2,1,2017-08-05,0.02,1,0,De Baarsjes - Oud-West,1635319,Shay,,52.36693,4.85179,Entire home/apt,99,2,25,2019-11-12,0.38,1,0
45539791,0,243878598,Bunk,,Oud-Noord,,4.91438,Private room,149,1,0,,,12,224,Oud-Noord,243878598,Bunk,,,4.91438,Private room,70,1,0,,,12,0
13965832,0,73012824,Marieke,,Centrum-Oost,52.36086,4.89697,Entire home/apt,99,2,12,2017-08-19,0.23,1,0,De Pijp - Rivierenbuurt,158267965,Marcin,,52.3419,4.89697,Entire home/apt,200,2,8,2018-06-16,0.21,1,0
30344378,0,40009864,Nienke,,De Pijp - Rivierenbuurt,52.34887,4.90301,Entire home/apt,180,2,1,2020-01-03,0.09,1,0,De Pijp - Rivierenbuurt,3522770,Antonio,,52.3536,4.90301,Entire home/apt,100,2,4,2018-07-20,0.12,1,0
42058295,0,99355470,Robin,,Centrum-Oost,52.36506,4.89794,Entire home/apt,425,2,3,2020-06-14,0.3,2,0,Centrum-Oost,23704483,Roland,,52.36348,4.89794,Entire home/apt,300,2,34,2020-02-16,1.03,1,0
5123650,0,4192913,Harriet,,De Pijp - Rivierenbuurt,52.35357,4.90148,Entire home/apt,180,3,65,2019-11-03,0.91,1,0,De Pijp - Rivierenbuurt,2579930,Veronica,,52.35682,4.90148,Entire home/apt,110,3,3,2019-09-23,0.14,1,0
1187004,1,2687994,Michael,,Zuid,52.35135,4.85174,Entire home/apt,228,2,60,2019-10-03,0.65,1,0,Centrum-West,146156656,Udi,,52.37195,4.89389,Entire home/apt,250,2,25,2020-07-19,0.64,1,11
45998980,0,372015241,Ecomama,,Centrum-Oost,52.37038,4.90611,Private room,147,1,0,,,6,0,Centrum-Oost,372015241,Ecomama,,52.36997,4.90611,Private room,109,1,0,,,6,0
26051429,0,85605311,Bridie,,Zuid,52.35242,4.84941,Private room,80,3,4,2019-07-30,0.23,1,0,Zuid,17961878,Marly,,52.35063,4.84941,Entire home/apt,75,3,54,2020-02-16,0.95,1,0
3658302,0,18530408,Pieter,,Zuid,52.3552,4.85199,Entire home/apt,130,2,14,2016-03-29,0.18,1,0,De Baarsjes - Oud-West,28983251,Dorien,,52.36863,4.85199,Private room,80,2,39,2020-02-16,0.97,1,0
45539609,0,243878598,Bunk,,Oud-Noord,,4.91438,Private room,141,1,0,,,12,244,Oud-Noord,243878598,Bunk,,,4.91438,Private room,127,1,0,,,12,0
8037965,1,17097221,Mario,,Bos en Lommer,52.37697,4.84849,Private room,68,1,2,2015-09-07,0.03,1,0,De Baarsjes - Oud-West,40687341,Steph,,52.36724,4.86611,Private room,49,1,0,,,1,0
19571518,1,137539904,Hassan,,Geuzenveld - Slotermeer,52.37407,4.81214,Entire home/apt,62,1,0,,,2,0,IJburg - Zeeburgereiland,204986552,Jeroen,,52.34951,5.01146,Entire home/apt,200,4,8,2018-08-24,0.28,1,0
12839657,1,66012359,Emilie,,De Baarsjes - Oud-West,52.36954,4.85687,Entire home/apt,157,2,0,,,1,0,Watergraafsmeer,24138541,Maran,,52.35727,4.93753,Entire home/apt,300,1,0,,,1,0
16047098,1,58147299,Anouck,,Bos en Lommer,52.38505,4.85057,Entire home/apt,90,2,29,2019-07-21,0.59,1,0,Oud-Oost,24063989,Rienke,,52.3553,4.91863,Entire home/apt,68,5,11,2019-09-28,0.15,1,0
18337087,1,118703525,Regina,,Watergraafsmeer,52.35603,4.94466,Entire home/apt,136,3,53,2019-09-13,1.22,2,0,Oud-Noord,34408178,Charissa,,52.38593,4.9038,Entire home/apt,124,4,0,,,1,358
21089325,1,127500048,Alexander,,Buitenveldert - Zuidas,52.33599,4.8707,Entire home/apt,120,1,3,2017-10-22,0.08,1,0,Geuzenveld - Slotermeer,1612630,Thomas,,52.37349,4.82222,Entire home/apt,79,1,29,2019-03-09,1.05,1,0
20792801,0,10319740,Merel,,De Pijp - Rivierenbuurt,52.34341,4.9058,Entire home/apt,155,2,7,2017-12-05,0.18,1,0,Zuid,127320206,Robert,,,4.85901,Entire home/apt,155,2,31,2020-02-10,0.78,1,360
5427980,0,26295351,Michelle,,Centrum-West,52.37629,4.89173,Private room,79,2,64,2018-01-21,0.91,6,0,Centrum-West,26295351,Michelle,,52.37629,4.89173,Private room,79,2,41,2018-01-06,0.61,6,0
31607933,0,236941574,Hermine,,Centrum-West,52.37969,4.88117,Entire home/apt,231,2,7,2019-04-22,0.33,1,0,Centrum-West,683291,Tom & Colleen,,52.37343,4.88117,Entire home/apt,130,2,1,2016-09-10,0.02,1,0
