MATCH_SCORE,ID_1,NAME_1,HOSTNAME_1,NEIGHB_1,LATITUDE_1,LONGITUDE_1,ROOM_TYPE_1,ID_2,NAME_2,HOSTNAME_2,NEIGHB_2,LATITUDE_2,LONGITUDE_2,ROOM_TYPE_2
98,908444,GIANICOLO SUITE AIRONE B&B,LUIGI And MARIA PIA,XII Monte Verde,418862,1245875,Private room,894714,GIANICOLO SUITE B&B,LUIGI And MARIA PIA,XII Monte Verde,4188598,1245812,Private room
98,995829,2 be home Colosseo b&b ensuite,Lory,I Centro Storico,4189116,1250236,Private room,995129,2 be home Colosseo b&b,Lory,I Centro Storico,4189127,1250207,Private room
98,954590,Rome@Home146 Monti MONO Top Choice,Annapiera,I Centro Storico,4189716,1249446,Entire home/apt,944620,Rome@Home146 - Monti Top Choice!!,Annapiera,I Centro Storico,4189698,1249491,Entire home/apt
98,1136842,Navona Queen rooftop Piazza Navona Rome,Matteo,I Centro Storico,4189912,1246728,Private room,1114163,Navona Queen rooftop  Piazza Navona Roma,Matteo,I Centro Storico,4189939,1246763,Private room
98,1286735,Dormitory mixed  (M and F)3,Romangelo,I Centro Storico,4189989,1250231,Shared room,1218665,Dormitory mixed  (M and F),Romangelo,I Centro Storico,4189945,1250229,Shared room
98,1286823,Dormitory mixed  (M and F),Romangelo,I Centro Storico,4190017,125022,Shared room,1286735,Dormitory mixed  (M and F)3,Romangelo,I Centro Storico,4189989,1250231,Shared room
98,1078734,The Palatine Garden Apartment,Maurizio,I Centro Storico,418913,1248315,Entire home/apt,1663086,The Palatine Garden 2 Apartment,Maurizio,I Centro Storico,418899,1248181,Entire home/apt
98,987106,View from the Top,Barry,I Centro Storico,4189947,1246624,Entire home/apt,2079134,View from the Top Annex,Barry,I Centro Storico,4189977,1246613,Entire home/apt
98,896479,Affitto stanza singola,Annalisa,I Centro Storico,419123,1244991,Private room,4834392,Stanza singola,Annalisa,I Centro Storico,419119,1244869,Private room
98,1218665,Dormitory mixed  (M and F),Romangelo,I Centro Storico,4189945,1250229,Shared room,6286270,Dormitory mixed  (M and F)4,Romangelo,I Centro Storico,419002,1250312,Shared room
98,1286823,Dormitory mixed  (M and F),Romangelo,I Centro Storico,4190017,125022,Shared room,6286270,Dormitory mixed  (M and F)4,Romangelo,I Centro Storico,419002,1250312,Shared room
98,1215739,La Dolce Vita,Pierfrancesco,I Centro Storico,4190383,1248701,Entire home/apt,4408563,La Dolce Vita Two,Pierfrancesco,I Centro Storico,4190346,1248695,Entire home/apt
98,809637,TRASTEVERE 9 apartment,Manuela,XII Monte Verde,4188029,124681,Entire home/apt,4609042,Trastevere 9 bed apartment,Manuela,XII Monte Verde,4187905,124681,Entire home/apt
98,703644,Apartment Trastevere 3,Manuela,XII Monte Verde,4187964,1246622,Entire home/apt,4610124,Apartment Trastevere,Manuela,XII Monte Verde,418806,1246775,Entire home/apt
98,962044,Sweet Room#Terrace#Metro B,Luigi,VIII Appia Antica,4185076,1247761,Private room,12596517,Sweet Double Room#Terrace#Metro B,Luigi,VIII Appia Antica,4185251,1247712,Private room
98,790163,APARTMENT IN VATICAN AREA,Maria,I Centro Storico,4190895,1246439,Entire home/apt,11035051,Cozy apartment - Vatican area,Maria,I Centro Storico,4190631,124577,Entire home/apt
98,1274186,SUPER CENTRAL APARTMENT 2,Sean,I Centro Storico,418962,1247315,Entire home/apt,11411137,SUPER CENTRAL APARTMENT,Sean,I Centro Storico,4189383,1247343,Entire home/apt
98,923109,sweethome,Valentina,II Parioli/Nomentano,4191801,1252387,Entire home/apt,14276832,Sweet Home Colosseo,Valentina,I Centro Storico,4188793,1249581,Entire home/apt
98,1120573,Youth Station Hostel - Rome,Marco,II Parioli/Nomentano,4191486,1252224,Shared room,21875866,Youth Station Hostel,Marco,II Parioli/Nomentano,4191348,1252129,Shared room
98,834023,Trastevere mattonato heart of rome,Ilaria,I Centro Storico,4189101,1246877,Entire home/apt,18183753,Trastevere Mattonato Heart of Rome 2,Ilaria,I Centro Storico,4188953,1246834,Entire home/apt
98,1245294,Cheap Room to rent in Rome!,Claudia,III Monte Sacro,4193807,1253572,Private room,19931206,Cheap rooms to rent in Rome/2,Claudia,III Monte Sacro,4193829,1253621,Private room
98,1019643,Newly restored Spanish Steps area,Giacomo,I Centro Storico,4190802,1247867,Entire home/apt,25887796,Newly restored with terrace in Spanish Steps area,Giacomo,I Centro Storico,4190842,1247904,Entire home/apt
98,1223667,Green single room in Pigneto Subway C,Nezha,V Prenestino/Centocelle,4188998,1253204,Private room,23125972,Single Room in the  Pigneto Subway C,Nezha,V Prenestino/Centocelle,4189018,1253289,Private room
98,778087,Tripla,Corrado,I Centro Storico,4189339,1250688,Private room,24017443,Tripla Deluxe,Corrado,I Centro Storico,4189746,1250095,Private room
98,1234389,House Maximo at Colosseum,Olga,I Centro Storico,418882,1250932,Entire home/apt,27949151,HOUSE MAXIMO AT COLOSSEUM SUITE,Olga,I Centro Storico,4188805,1250724,Entire home/apt
