id,label,left_host_id,left_host_name,left_neighbourhood_group,left_neighbourhood,left_latitude,left_longitude,left_room_type,left_price,left_minimum_nights,left_number_of_reviews,left_last_review,left_reviews_per_month,left_calculated_host_listings_count,left_availability_365,right_neighbourhood,right_host_id,right_host_name,right_neighbourhood_group,right_latitude,right_longitude,right_room_type,right_price,right_minimum_nights,right_number_of_reviews,right_last_review,right_reviews_per_month,right_calculated_host_listings_count,right_availability_365
21390929,1,139063900,Deco Apartments Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,41.39203,2.15228,Entire home/apt,106,1,77,2020-10-31,2.13,35,131,l'Antiga Esquerra de l'Eixample,139063900,Deco Apartments Barcelona,Eixample,41.39386,2.15145,Entire home/apt,106,1,42,2020-11-30,1.15,35,114
7283830,1,13791094,Cristina,Eixample,la Sagrada Família,41.40835,2.17553,Private room,40,2,27,2018-06-04,0.42,1,0,la Sagrada Família,251490164,Anna,Eixample,41.40781,2.16993,Private room,42,2,36,2020-03-12,1.76,2,0
42872926,0,64515600,Alguera Industria,Sant Martí,el Camp de l'Arpa del Clot,,2.17684,Entire home/apt,43,32,0,,,19,1,el Camp de l'Arpa del Clot,64515600,Alguera Industria,Sant Martí,,2.17684,Entire home/apt,43,32,0,,,19,199
32457333,0,32037490,SweetInn,Eixample,la Nova Esquerra de l'Eixample,,2.15239,Entire home/apt,92,2,11,2020-11-16,0.53,84,211,la Nova Esquerra de l'Eixample,32037490,SweetInn,Eixample,,2.15239,Entire home/apt,94,2,11,2020-10-23,0.5,84,347
13931534,0,37754615,Silvia,Les Corts,les Corts,41.38182,2.13002,Private room,41,1,4,2019-04-28,0.1,1,177,el Barri Gòtic,98256888,Morad,Ciutat Vella,,2.17508,Private room,41,1,4,2019-01-27,0.15,1,0
23919529,0,174751009,Albert,Eixample,la Sagrada Família,,2.17132,Entire home/apt,70,1,51,2020-02-25,1.65,18,260,la Sagrada Família,54820821,Albert,Eixample,,2.17132,Entire home/apt,222,1,150,2020-11-27,3.24,20,309
43088017,0,240372626,Marina,Sant Martí,el Clot,41.40865,2.19002,Private room,60,1,0,,,1,358,Sant Andreu,73947932,Abel,Sant Andreu,41.42958,2.19002,Private room,500,18,0,,,1,0
24238588,0,168877958,Som Nit Born,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",,2.18375,Hotel room,52,1,126,2020-09-20,4.26,3,267,"Sant Pere, Santa Caterina i la Ribera",168877958,Som Nit Born,Ciutat Vella,,2.18375,Hotel room,68,1,16,2020-08-12,0.72,3,267
18748104,1,113020313,Javier,Eixample,la Sagrada Família,41.40854,2.1777,Entire home/apt,79,1,12,2020-03-01,0.32,16,93,la Sagrada Família,113020313,Javier,Eixample,41.40854,2.1777,Entire home/apt,79,1,12,2020-06-19,0.32,16,166
13808970,0,43565515,Homes In Blue,Eixample,la Dreta de l'Eixample,,2.16012,Entire home/apt,46,32,0,,,28,1,la Dreta de l'Eixample,43565515,Homes In Blue,Eixample,,2.16012,Entire home/apt,106,2,4,2019-10-10,0.21,28,353
41059968,0,320935389,Dani,Sants-Montjuïc,el Poble Sec,41.37392,2.17196,Private room,20,1,1,2019-12-30,0.08,1,0,el Raval,204818718,Alex,Ciutat Vella,41.37984,2.17196,Private room,42,1,15,2019-02-04,0.54,2,0
